EMP_CNTY,RESULT,PERIOD,cfips,result,period,tot_workers,all_salary,avg_salary,decision_dur,naics4
01001,CERTIFIED,2016Q2,01001,CERTIFIED,2016Q2,2.0,62500.0,31250.0,6,3363
01003,CERTIFIED,2015Q2,01003,CERTIFIED,2015Q2,1.0,24980.0,24980.0,6,7225
01003,CERTIFIED,2015Q3,01003,CERTIFIED,2015Q3,1.0,20000.0,20000.0,6,6116
01003,CERTIFIED,2016Q4,01003,CERTIFIED,2016Q4,1.0,38000.0,38000.0,6,2362
01011,CERTIFIED,2015Q2,01011,CERTIFIED,2015Q2,1.0,60008.0,60008.0,6,3312
01011,CERTIFIED,2015Q4,01011,CERTIFIED,2015Q4,1.0,60000.0,60000.0,7,8139
01011,CERTIFIED,2017Q3,01011,CERTIFIED,2017Q3,1.0,22755.0,22755.0,6,5182
01011,WITHDRAWN,2015Q2,01011,WITHDRAWN,2015Q2,1.0,60008.0,60008.0,0,3312
01013,CERTIFIED,2015Q2,01013,CERTIFIED,2015Q2,5.0,339012.0,67802.0,5,3363
01013,CERTIFIED,2015Q4,01013,CERTIFIED,2015Q4,3.0,195424.0,65141.0,5,3363
01013,CERTIFIED,2016Q1,01013,CERTIFIED,2016Q1,1.0,46500.0,46500.0,6,5629
01013,CERTIFIED,2016Q2,01013,CERTIFIED,2016Q2,2.0,77000.0,38500.0,6,3363
01013,CERTIFIED,2017Q2,01013,CERTIFIED,2017Q2,5.0,187000.0,37400.0,4,3363
01013,CERTIFIED,2017Q4,01013,CERTIFIED,2017Q4,1.0,36161.0,36161.0,6,3363
01013,WITHDRAWN,2015Q4,01013,WITHDRAWN,2015Q4,1.0,47424.0,47424.0,0,3363
01015,CERTIFIED,2015Q1,01015,CERTIFIED,2015Q1,1.0,78874.0,78874.0,6,3361
01015,CERTIFIED,2015Q2,01015,CERTIFIED,2015Q2,3.0,132790.0,44263.0,5,6212
01015,CERTIFIED,2015Q4,01015,CERTIFIED,2015Q4,9.0,787254.0,87472.0,5,3362
01015,CERTIFIED,2016Q2,01015,CERTIFIED,2016Q2,2.0,117500.0,58750.0,7,6211
01015,CERTIFIED,2016Q3,01015,CERTIFIED,2016Q3,4.0,356601.0,89150.0,6,6211
01015,CERTIFIED,2016Q4,01015,CERTIFIED,2016Q4,3.0,226189.0,75396.0,6,6211
01015,CERTIFIED,2017Q1,01015,CERTIFIED,2017Q1,2.0,110088.0,55044.0,6,3362
01015,CERTIFIED,2017Q2,01015,CERTIFIED,2017Q2,3.0,239072.0,79690.0,6,6113
01015,CERTIFIED,2017Q3,01015,CERTIFIED,2017Q3,5.0,400459.0,80091.0,5,6113
01015,CERTIFIED,2017Q4,01015,CERTIFIED,2017Q4,5.0,430108.0,86021.0,6,6113
01015,WITHDRAWN,2015Q4,01015,WITHDRAWN,2015Q4,2.0,150315.0,75157.0,1,3362
01017,CERTIFIED,2015Q1,01017,CERTIFIED,2015Q1,5.0,276836.0,55367.0,5,5416
01017,CERTIFIED,2015Q2,01017,CERTIFIED,2015Q2,22.0,895072.0,49726.0,5,5416
01017,CERTIFIED,2015Q3,01017,CERTIFIED,2015Q3,3.0,155756.0,51918.0,6,3363
01017,CERTIFIED,2015Q4,01017,CERTIFIED,2015Q4,4.0,129000.0,43000.0,6,5416
01017,CERTIFIED,2016Q1,01017,CERTIFIED,2016Q1,3.0,72352.0,24117.0,7,3363
01017,CERTIFIED,2016Q2,01017,CERTIFIED,2016Q2,30.0,518407.0,23563.0,5,3363
01017,CERTIFIED,2016Q3,01017,CERTIFIED,2016Q3,6.0,172582.0,28763.0,4,5415
01017,CERTIFIED,2016Q4,01017,CERTIFIED,2016Q4,5.0,136351.0,34087.0,5,5416
01017,CERTIFIED,2017Q1,01017,CERTIFIED,2017Q1,2.0,52836.0,26418.0,6,3363
01017,CERTIFIED,2017Q2,01017,CERTIFIED,2017Q2,32.0,541372.0,24607.0,5,5416
01017,CERTIFIED,2017Q3,01017,CERTIFIED,2017Q3,1.0,29390.0,29390.0,6,3363
01017,CERTIFIED,2017Q4,01017,CERTIFIED,2017Q4,1.0,23500.0,23500.0,6,3363
01017,CERTIFIED,2018Q1,01017,CERTIFIED,2018Q1,3.0,113979.0,37993.0,6,5416
01017,WITHDRAWN,2016Q2,01017,WITHDRAWN,2016Q2,1.0,19760.0,19760.0,0,3363
01017,WITHDRAWN,2017Q2,01017,WITHDRAWN,2017Q2,9.0,251000.0,27888.0,0,5415
01019,CERT-WITHD,2016Q4,01019,CERT-WITHD,2016Q4,1.0,25428.0,25428.0,6,6221
01019,CERTIFIED,2015Q2,01019,CERTIFIED,2015Q2,1.0,41080.0,41080.0,6,6221
01019,CERTIFIED,2016Q2,01019,CERTIFIED,2016Q2,1.0,22880.0,22880.0,6,6221
01019,CERTIFIED,2016Q4,01019,CERTIFIED,2016Q4,3.0,188880.0,62960.0,6,6211
01019,CERTIFIED,2017Q2,01019,CERTIFIED,2017Q2,1.0,22880.0,22880.0,6,6221
01019,CERTIFIED,2018Q1,01019,CERTIFIED,2018Q1,2.0,149100.0,74550.0,4,6221
01021,CERTIFIED,2015Q1,01021,CERTIFIED,2015Q1,1.0,56707.0,56707.0,7,6113
01021,CERTIFIED,2015Q2,01021,CERTIFIED,2015Q2,3.0,178000.0,59333.0,6,3371
01025,CERTIFIED,2016Q3,01025,CERTIFIED,2016Q3,1.0,36202.0,36202.0,6,7211
01025,CERTIFIED,2017Q2,01025,CERTIFIED,2017Q2,3.0,121253.0,40417.0,4,6213
01027,CERTIFIED,2015Q2,01027,CERTIFIED,2015Q2,1.0,40000.0,40000.0,4,6113
01027,CERTIFIED,2016Q4,01027,CERTIFIED,2016Q4,1.0,25000.0,25000.0,4,6113
01027,CERTIFIED,2017Q2,01027,CERTIFIED,2017Q2,1.0,21250.0,21250.0,6,6113
01031,CERTIFIED,2015Q2,01031,CERTIFIED,2015Q2,2.0,190000.0,95000.0,6,3363
01031,CERTIFIED,2015Q3,01031,CERTIFIED,2015Q3,1.0,65000.0,65000.0,6,3363
01031,CERTIFIED,2016Q2,01031,CERTIFIED,2016Q2,4.0,163442.0,40860.0,6,3363
01031,DENIED,2015Q3,01031,DENIED,2015Q3,1.0,65000.0,65000.0,5,3363
01033,CERTIFIED,2015Q2,01033,CERTIFIED,2015Q2,2.0,170100.0,85050.0,6,3313
01033,CERTIFIED,2015Q3,01033,CERTIFIED,2015Q3,6.0,1965000.0,327500.0,6,6211
01033,CERTIFIED,2015Q4,01033,CERTIFIED,2015Q4,1.0,176128.0,176128.0,7,6221
01033,CERTIFIED,2016Q1,01033,CERTIFIED,2016Q1,1.0,167864.0,167864.0,7,6211
01033,CERTIFIED,2017Q2,01033,CERTIFIED,2017Q2,3.0,99420.0,33140.0,6,3313
01033,WITHDRAWN,2015Q3,01033,WITHDRAWN,2015Q3,3.0,873000.0,291000.0,0,6211
01033,WITHDRAWN,2017Q2,01033,WITHDRAWN,2017Q2,1.0,42000.0,42000.0,0,3313
01035,CERTIFIED,2015Q2,01035,CERTIFIED,2015Q2,8.0,379746.0,47468.0,6,5611
01035,CERTIFIED,2015Q4,01035,CERTIFIED,2015Q4,1.0,47000.0,47000.0,8,5412
01035,CERTIFIED,2016Q2,01035,CERTIFIED,2016Q2,9.0,323225.0,35913.0,6,5611
01035,CERTIFIED,2016Q4,01035,CERTIFIED,2016Q4,1.0,25000.0,25000.0,6,5412
01035,CERTIFIED,2017Q2,01035,CERTIFIED,2017Q2,15.0,260695.0,21724.0,6,3363
01035,CERTIFIED,2017Q3,01035,CERTIFIED,2017Q3,1.0,26500.0,26500.0,6,3361
01035,CERTIFIED,2017Q4,01035,CERTIFIED,2017Q4,4.0,160352.0,40088.0,6,5412
01035,DENIED,2016Q2,01035,DENIED,2016Q2,1.0,46000.0,46000.0,4,5611
01037,CERTIFIED,2017Q2,01037,CERTIFIED,2017Q2,1.0,20852.0,20852.0,6,4249
01039,CERTIFIED,2015Q2,01039,CERTIFIED,2015Q2,1.0,38106.0,38106.0,6,5419
01039,CERTIFIED,2016Q2,01039,CERTIFIED,2016Q2,2.0,41547.0,20773.0,4,3363
01039,CERTIFIED,2017Q2,01039,CERTIFIED,2017Q2,1.0,39998.0,39998.0,6,3363
01039,CERTIFIED,2017Q3,01039,CERTIFIED,2017Q3,1.0,23441.0,23441.0,6,3363
01041,CERTIFIED,2015Q1,01041,CERTIFIED,2015Q1,3.0,186372.0,62124.0,6,3363
