WORK_CNTY,RESULT,PERIOD,cfips,result,period,tot_workers,all_salary,avg_salary,decision_dur,naics4
01001,CERTIFIED,2015Q4,01001,CERTIFIED,2015Q4,2.0,352000.0,176000.0,6,6211
01001,CERTIFIED,2016Q2,01001,CERTIFIED,2016Q2,1.0,20000.0,20000.0,6,3363
01001,CERTIFIED,2016Q4,01001,CERTIFIED,2016Q4,1.0,88000.0,88000.0,6,6211
01001,CERTIFIED,2017Q2,01001,CERTIFIED,2017Q2,1.0,55000.0,55000.0,4,3331
01001,CERTIFIED,2017Q3,01001,CERTIFIED,2017Q3,2.0,190000.0,95000.0,4,6211
01001,CERTIFIED,2018Q1,01001,CERTIFIED,2018Q1,1.0,78000.0,78000.0,6,6212
01003,CERTIFIED,2015Q1,01003,CERTIFIED,2015Q1,3.0,205360.0,68453.0,4,5415
01003,CERTIFIED,2015Q2,01003,CERTIFIED,2015Q2,1.0,24980.0,24980.0,6,7225
01003,CERTIFIED,2015Q3,01003,CERTIFIED,2015Q3,1.0,20000.0,20000.0,6,6116
01003,CERTIFIED,2015Q4,01003,CERTIFIED,2015Q4,5.0,87500.0,87500.0,6,5413
01003,CERTIFIED,2016Q2,01003,CERTIFIED,2016Q2,8.0,402419.0,57488.0,5,5415
01003,CERTIFIED,2016Q3,01003,CERTIFIED,2016Q3,7.0,486392.0,69484.0,5,6211
01003,CERTIFIED,2016Q4,01003,CERTIFIED,2016Q4,12.0,86661.0,28887.0,6,5413
01003,CERTIFIED,2017Q1,01003,CERTIFIED,2017Q1,2.0,192824.0,96412.0,6,6211
01003,CERTIFIED,2017Q2,01003,CERTIFIED,2017Q2,5.0,234073.0,58518.0,6,5413
01003,CERTIFIED,2017Q3,01003,CERTIFIED,2017Q3,1.0,42450.0,42450.0,6,5415
01003,CERTIFIED,2018Q1,01003,CERTIFIED,2018Q1,1.0,118573.0,118573.0,6,5413
01003,DENIED,2016Q2,01003,DENIED,2016Q2,1.0,23400.0,23400.0,4,7225
01003,DENIED,2016Q3,01003,DENIED,2016Q3,2.0,208000.0,104000.0,4,6211
01005,CERTIFIED,2015Q4,01005,CERTIFIED,2015Q4,1.0,353392.0,353392.0,6,5416
01011,CERTIFIED,2015Q1,01011,CERTIFIED,2015Q1,4.0,110288.0,55144.0,6,5415
01011,CERTIFIED,2015Q2,01011,CERTIFIED,2015Q2,67.0,789029.0,71729.0,5,5415
01011,CERTIFIED,2016Q1,01011,CERTIFIED,2016Q1,6.0,133953.0,66976.0,6,5415
01011,CERTIFIED,2016Q2,01011,CERTIFIED,2016Q2,23.0,185752.0,61917.0,4,5415
01011,CERTIFIED,2016Q3,01011,CERTIFIED,2016Q3,11.0,150626.0,75313.0,6,5415
01011,CERTIFIED,2016Q4,01011,CERTIFIED,2016Q4,10.0,79219.0,79219.0,6,5415
01011,CERTIFIED,2017Q1,01011,CERTIFIED,2017Q1,1.0,44636.0,44636.0,4,5613
01011,CERTIFIED,2017Q2,01011,CERTIFIED,2017Q2,43.0,409936.0,58562.0,5,5415
01011,CERTIFIED,2017Q3,01011,CERTIFIED,2017Q3,21.0,267879.0,89293.0,5,5415
01011,CERTIFIED,2017Q4,01011,CERTIFIED,2017Q4,1.0,86989.0,86989.0,6,5415
01011,CERTIFIED,2018Q1,01011,CERTIFIED,2018Q1,1.0,106130.0,106130.0,6,5415
01011,WITHDRAWN,2015Q2,01011,WITHDRAWN,2015Q2,1.0,60008.0,60008.0,0,3312
01011,WITHDRAWN,2017Q2,01011,WITHDRAWN,2017Q2,1.0,39800.0,39800.0,3,5415
01013,CERTIFIED,2015Q2,01013,CERTIFIED,2015Q2,5.0,339012.0,67802.0,5,3363
01013,CERTIFIED,2015Q4,01013,CERTIFIED,2015Q4,3.0,195424.0,65141.0,5,3363
01013,CERTIFIED,2016Q1,01013,CERTIFIED,2016Q1,1.0,46500.0,46500.0,6,5629
01013,CERTIFIED,2016Q2,01013,CERTIFIED,2016Q2,12.0,113400.0,37800.0,6,3363
01013,CERTIFIED,2016Q3,01013,CERTIFIED,2016Q3,1.0,31075.0,31075.0,4,6213
01013,CERTIFIED,2017Q2,01013,CERTIFIED,2017Q2,6.0,214383.0,35730.0,5,3363
01013,CERTIFIED,2017Q3,01013,CERTIFIED,2017Q3,2.0,190000.0,95000.0,4,6211
01013,CERTIFIED,2017Q4,01013,CERTIFIED,2017Q4,3.0,70117.0,35058.0,6,3363
01013,CERTIFIED,2018Q1,01013,CERTIFIED,2018Q1,2.0,67912.0,33956.0,7,6213
01013,WITHDRAWN,2015Q4,01013,WITHDRAWN,2015Q4,1.0,47424.0,47424.0,0,3363
01013,WITHDRAWN,2017Q2,01013,WITHDRAWN,2017Q2,1.0,20000.0,20000.0,0,3312
01015,CERTIFIED,2015Q1,01015,CERTIFIED,2015Q1,2.0,150655.0,75327.0,6,3361
01015,CERTIFIED,2015Q2,01015,CERTIFIED,2015Q2,8.0,463633.0,66233.0,6,5415
01015,CERTIFIED,2015Q4,01015,CERTIFIED,2015Q4,8.0,655569.0,81946.0,5,3362
01015,CERTIFIED,2016Q1,01015,CERTIFIED,2016Q1,1.0,30000.0,30000.0,7,5415
01015,CERTIFIED,2016Q2,01015,CERTIFIED,2016Q2,10.0,321796.0,53632.0,6,5415
01015,CERTIFIED,2016Q3,01015,CERTIFIED,2016Q3,4.0,356601.0,89150.0,6,6211
01015,CERTIFIED,2016Q4,01015,CERTIFIED,2016Q4,4.0,332189.0,83047.0,6,6113
01015,CERTIFIED,2017Q1,01015,CERTIFIED,2017Q1,1.0,40088.0,40088.0,6,3362
01015,CERTIFIED,2017Q2,01015,CERTIFIED,2017Q2,3.0,239072.0,79690.0,6,6113
01015,CERTIFIED,2017Q3,01015,CERTIFIED,2017Q3,8.0,574845.0,71855.0,5,6113
01015,CERTIFIED,2017Q4,01015,CERTIFIED,2017Q4,9.0,546944.0,68368.0,5,6113
01015,CERTIFIED,2018Q1,01015,CERTIFIED,2018Q1,2.0,74550.0,37275.0,6,6213
01015,WITHDRAWN,2015Q4,01015,WITHDRAWN,2015Q4,2.0,150315.0,75157.0,1,3362
01017,CERTIFIED,2015Q1,01017,CERTIFIED,2015Q1,4.0,200296.0,50074.0,5,3363
01017,CERTIFIED,2015Q2,01017,CERTIFIED,2015Q2,10.0,449072.0,44907.0,5,3363
01017,CERTIFIED,2015Q3,01017,CERTIFIED,2015Q3,2.0,112756.0,56378.0,6,3363
01017,CERTIFIED,2016Q1,01017,CERTIFIED,2016Q1,3.0,72352.0,24117.0,7,3363
01017,CERTIFIED,2016Q2,01017,CERTIFIED,2016Q2,19.0,368055.0,23003.0,5,3363
01017,CERTIFIED,2016Q3,01017,CERTIFIED,2016Q3,7.0,228582.0,32654.0,4,5415
01017,CERTIFIED,2016Q4,01017,CERTIFIED,2016Q4,4.0,142053.0,35513.0,5,3363
01017,CERTIFIED,2017Q1,01017,CERTIFIED,2017Q1,3.0,123764.0,41254.0,6,3363
01017,CERTIFIED,2017Q2,01017,CERTIFIED,2017Q2,11.0,255592.0,23235.0,5,3363
01017,CERTIFIED,2017Q3,01017,CERTIFIED,2017Q3,1.0,29390.0,29390.0,6,3363
01017,CERTIFIED,2017Q4,01017,CERTIFIED,2017Q4,1.0,23500.0,23500.0,6,3363
01017,CERTIFIED,2018Q1,01017,CERTIFIED,2018Q1,1.0,25979.0,25979.0,6,3363
01017,WITHDRAWN,2016Q2,01017,WITHDRAWN,2016Q2,1.0,19760.0,19760.0,0,3363
01017,WITHDRAWN,2016Q4,01017,WITHDRAWN,2016Q4,1.0,21000.0,21000.0,1,3363
01019,CERT-WITHD,2015Q4,01019,CERT-WITHD,2015Q4,3.0,229000.0,76333.0,198,3332
01019,CERT-WITHD,2016Q4,01019,CERT-WITHD,2016Q4,1.0,25428.0,25428.0,6,6221
01019,CERTIFIED,2015Q2,01019,CERTIFIED,2015Q2,11.0,697080.0,63370.0,5,5415
01019,CERTIFIED,2015Q3,01019,CERTIFIED,2015Q3,4.0,343599.0,171799.0,6,6211
